date,region,product,revenue,units
2025-01-02,North,Gadget X,799.96,
2025-01-05,East,Widget B,270.54,7.0
2025-01-06,West,Gadget X,843.88,16.0
2025-01-07,North,Widget A,445.99,18.0
2025-01-07,South,Widget B,487.36,
2025-01-08,East,Widget A,349.25,12.0
2025-01-11,South,Widget A,170.79,8.0
2025-01-12,West,Widget B,410.57,11.0
2025-01-13,West,Widget B,705.12,16.0
2025-01-14,South,Gadget Y,193.05,14.0
2025-01-15,South,Widget B,468.84,12.0
2025-01-16,West,Widget A,296.74,13.0
2025-01-17,North,Gadget X,1116.37,15.0
2025-01-17,West,Widget A,304.12,12.0
2025-01-17,South,Gadget Y,148.02,11.0
2025-01-17,West,Widget A,472.17,18.0
2025-01-18,East,Gadget X,848.88,12.0
2025-01-18,North,Gadget Y,196.29,10.0
2025-01-20,North,Widget A,447.75,14.0
2025-01-21,South,Gadget X,540.72,9.0
2025-01-23,North,Gadget X,514.76,8.0
2025-01-24,East,Widget A,375.43,16.0
2025-01-24,North,Widget A,531.93,19.0
2025-01-26,South,Gadget X,1070.86,21.0
2025-01-26,North,Widget B,648.66,14.0
2025-01-28,South,Gadget Y,205.79,16.0
2025-01-30,North,Widget A,263.06,10.0
2025-01-30,West,Gadget X,745.5,12.0
2025-01-30,East,Gadget Y,169.53,12.0
2025-01-31,East,Gadget Y,122.29,8.0
2025-02-03,North,Gadget Y,201.55,11.0
2025-02-04,North,Widget A,253.82,9.0
2025-02-05,North,Widget A,186.48,6.0
2025-02-06,South,Widget A,275.62,13.0
2025-02-06,North,Widget A,323.69,10.0
2025-02-08,South,Widget A,245.97,12.0
2025-02-11,West,Widget A,484.73,19.0
2025-02-11,West,Gadget Y,228.96,16.0
2025-02-12,East,Widget A,381.42,13.0
2025-02-13,South,Widget B,489.0,14.0
2025-02-14,South,Widget B,384.88,10.0
2025-02-20,South,Widget B,596.16,15.0
2025-02-20,West,Widget B,476.32,11.0
2025-02-20,East,Gadget Y,193.33,13.0
2025-02-20,East,Widget A,222.61,8.0
2025-02-22,East,Widget A,475.78,20.0
2025-02-23,West,Widget B,686.03,20.0
2025-02-25,North,Gadget X,651.24,9.0
2025-02-26,South,Widget B,445.87,13.0
2025-02-28,North,Widget A,367.46,12.0
2025-02-28,South,Gadget Y,201.08,16.0
2025-03-01,South,Widget A,302.0,12.0
2025-03-02,East,Gadget Y,252.23,16.0
2025-03-04,West,Gadget X,1419.9,21.0
2025-03-06,East,Widget A,370.67,14.0
2025-03-07,South,Gadget Y,139.07,11.0
2025-03-08,South,Gadget Y,176.08,16.0
2025-03-09,West,Widget A,408.22,17.0
2025-03-09,North,Gadget Y,165.44,9.0
2025-03-12,West,Gadget X,243.13,4.0
2025-03-14,East,Gadget Y,148.95,10.0
2025-03-15,West,Gadget Y,252.22,16.0
2025-03-15,North,Widget A,254.91,8.0
2025-03-16,East,Gadget Y,131.68,9.0
2025-03-16,North,Gadget X,429.72,6.0
2025-03-17,West,Gadget X,491.09,9.0
2025-03-20,West,Widget B,623.99,16.0
2025-03-20,North,Gadget Y,205.95,11.0
2025-03-20,East,Gadget Y,145.71,9.0
2025-03-21,South,Widget A,195.5,8.0
2025-03-21,South,Gadget X,705.6,14.0
2025-03-21,North,Widget B,494.13,11.0
2025-03-21,South,Widget A,304.74,14.0
2025-03-22,East,Gadget X,751.98,11.0
2025-03-22,South,Gadget X,662.11,11.0
2025-03-23,West,Gadget Y,173.7,13.0
2025-03-23,South,Gadget Y,184.84,13.0
2025-03-25,West,Widget A,254.8,11.0
2025-03-25,South,Gadget X,983.74,17.0
2025-03-25,East,Widget A,252.69,11.0
2025-03-26,South,Gadget X,663.34,13.0
2025-03-26,West,Gadget Y,220.82,14.0
2025-03-27,North,Widget B,557.81,12.0
2025-03-27,South,Widget B,312.37,9.0
2025-03-28,North,Widget A,345.29,11.0
2025-04-01,South,Widget A,229.46,10.0
2025-04-01,East,Gadget X,926.67,16.0
2025-04-01,South,Widget A,391.57,17.0
2025-04-02,West,Widget B,662.38,19.0
2025-04-02,South,Widget B,465.35,13.0
2025-04-03,West,Gadget X,543.35,9.0
2025-04-06,North,Gadget Y,183.02,12.0
2025-04-09,North,Widget A,381.06,15.0
2025-04-09,East,Widget B,304.37,8.0
2025-04-11,East,Gadget X,601.43,11.0
2025-04-11,North,Gadget X,912.42,12.0
2025-04-11,East,Gadget Y,80.23,5.0
2025-04-11,East,Gadget X,1132.16,17.0
2025-04-12,North,Widget A,403.53,14.0
2025-04-13,South,Gadget X,891.08,18.0
2025-04-13,West,Widget A,341.19,17.0
2025-04-13,South,Widget A,423.78,18.0
2025-04-13,South,Gadget X,587.25,11.0
2025-04-15,East,Gadget Y,239.36,15.0
2025-04-20,West,Widget B,277.16,8.0
2025-04-24,North,Widget A,378.47,12.0
2025-04-25,South,Gadget Y,210.08,16.0
2025-04-25,West,Widget A,250.33,11.0
2025-04-26,East,Widget B,563.63,15.0
2025-04-27,South,Widget A,418.61,18.0
2025-04-29,East,Gadget X,831.7,12.0
2025-04-29,East,Gadget Y,272.63,18.0
2025-04-30,East,Widget A,367.24,13.0
2025-05-01,West,Widget A,140.21,6.0
2025-05-01,South,Widget A,195.11,8.0
2025-05-01,East,Widget A,303.71,
2025-05-02,North,Widget A,480.51,17.0
2025-05-03,South,Widget A,247.92,12.0
2025-05-04,North,Widget A,266.27,10.0
2025-05-04,North,Widget A,497.33,19.0
2025-05-05,East,Widget A,134.17,5.0
2025-05-07,North,Widget A,440.74,14.0
2025-05-07,East,Gadget Y,213.94,14.0
2025-05-07,West,Widget A,525.21,19.0
2025-05-07,West,Widget B,679.06,17.0
2025-05-08,East,Widget A,331.05,12.0
2025-05-10,North,Widget A,490.9,15.0
2025-05-10,South,Gadget Y,192.07,14.0
2025-05-11,East,Widget A,431.58,18.0
2025-05-14,North,Widget A,415.1,14.0
2025-05-15,West,Widget A,359.79,14.0
2025-05-15,North,Gadget X,924.22,13.0
2025-05-18,East,Widget B,495.85,12.0
2025-05-18,East,Widget B,516.56,12.0
2025-05-18,South,Gadget X,440.82,9.0
2025-05-19,South,Gadget X,962.85,18.0
2025-05-19,East,Gadget X,917.06,16.0
2025-05-20,West,Gadget Y,254.04,16.0
2025-05-21,East,Widget A,395.11,12.0
2025-05-21,East,Widget B,547.36,13.0
2025-05-22,South,Widget A,171.12,
2025-05-22,West,Widget A,191.28,8.0
2025-05-22,North,Widget A,246.64,9.0
2025-05-22,North,Widget A,363.68,15.0
2025-05-23,North,Widget A,221.29,7.0
2025-05-23,East,Widget A,426.34,17.0
2025-05-24,North,Widget A,417.92,14.0
2025-05-25,South,Widget B,263.2,8.0
2025-05-25,North,Widget B,595.6,12.0
2025-05-26,West,Gadget Y,173.85,11.0
2025-05-26,North,Widget A,529.26,16.0
2025-05-28,South,Widget B,432.21,12.0
2025-05-29,West,Widget B,835.64,21.0
2025-05-29,North,Widget A,567.7,19.0
2025-05-30,South,Widget B,358.28,13.0
2025-05-31,West,Gadget X,769.31,13.0
2025-05-31,South,Widget A,291.91,11.0
2025-05-31,East,Gadget X,753.85,12.0
2025-06-01,West,Widget A,142.89,6.0
2025-06-02,North,Gadget X,761.78,12.0
2025-06-04,East,Widget B,652.37,15.0
2025-06-04,West,Widget A,220.15,9.0
2025-06-04,North,Widget B,771.66,15.0
2025-06-05,South,Gadget X,687.75,12.0
2025-06-05,South,Gadget Y,152.55,12.0
2025-06-10,South,Widget B,303.44,8.0
2025-06-11,East,Gadget X,983.52,17.0
2025-06-12,North,Widget A,236.25,8.0
2025-06-13,West,Widget A,299.75,13.0
2025-06-13,East,Widget A,402.42,14.0
2025-06-16,South,Gadget X,928.63,18.0
